Input,Category
सूर्यविनायक - रत्नपार्क द्रुत बस सेवा चलाउन ‘डेडिकेटेड लेन’ निर्माण सुरुरासससूर्यविनायक–रत्नपार्क ‘द्रुत बस सेवा’ सञ्चालनका लागि सडकमा ‘डेडिकेटेड लेन’ बनाउन सुरु गरिएको छ । सडक डिभिजन कार्यालयले द्रुत बस सेवा सञ्चालनका लागि ‘रेडमार्क’ गर्न थालेको सडक डिभिजनका कार्यालय प्रमुख नारायण निहुरेले बताए । लामो बर्सातका कारण सडकको डेडिकेटेड लेनमा रेडमार्क गर्न सकिएको थिएन ।   संग्रह  सेयर,business
एक महिनामा १६ करोडको सिमेन्ट निर्यातसीमा तामाङचालु आर्थिक वर्षको पहिलो महिना साउनमा मुलुकबाट १६ करोड ४४ लाख ६५ हजार रुपैयाँ बराबरको २५ हजार ७ सय ४२ टन क्लिंकर निर्यात भएको छ । साउनमै ७ करोड ५ लाख २४ हजार रुपैयाँ बराबरको ९ हजार ५ सय ७३ टन तयारी सिमेन्ट निर्यात भएको भन्सार विभागको तथ्यांक छ । गत आर्थिक वर्षमा ३५ करोड ८९ लाख ५० हजार रुपैयाँ बराबरको सिमेन्ट र ४२ करोडको क्लिंकर निर्यात भएको थियो ।  संग्रह  सेयर,business
दुई वर्षको नाफा देखाए प्रिमियममा आईपीओ सुविधायज्ञ बञ्जाडेएक अर्ब रुपैयाँभन्दा बढी चुक्ता पुँजी भएका कम्पनीले पछिल्लो दुई आर्थिक वर्षको नाफाकै आधारमा प्रिमियममा (अंकित मूल्यमा थप गरेर) प्राथमिक सेयर निष्कासन (आईपीओ) जारी गर्न पाउने भएका छन् । ‘धितोपत्र दर्ता तथा निष्कासन (सातौं संशोधन) नियमावली’ मार्फत नेपाल धितोपत्र बोर्डले यस्तो व्यवस्था गरेको हो । यो व्यवस्था एक अर्ब रुपैयाँभन्दा कम चुक्ता पुँजी भएका कम्पनीका लागि भने होइन ।  संग्रह  सेयर,business
डेढ किमि घट्यो फास्ट ट्र्याकको दूरीविमल खतिवडाकाठमाडौं तराई/मधेश द्रुतमार्ग (फास्ट ट्र्याक) निर्माण थालेको ६ वर्षपछि विस्तृत परियोजना रिपोर्ट (डीपीआर) संशोधन गरेर दूरी घटाइएको छ । गत साउन ३० मा बसेको मन्त्रिपरिषद् बैठकले डीपीआर संशोधन गर्न स्वीकृति दिएसँगै अब ललितपुरको खोकनादेखि बाराको निजगढसम्मको दूरी ७०.९७७ किमि कायम भएको छ । यसअघि उक्त खण्डको दूरी ७२.५ किमि थियो ।  संग्रह  सेयर,business
चिनियाँ रक्षामन्त्रीलाई बर्खास्त गरिएको आशंकाएजेन्सीचीनका राष्ट्रपति सी  चिनफिङले रक्षामन्त्रीलाई बर्खास्त गरेको आशंका गरिएको छ । रक्षामन्त्री ली साङ्फु दुई सातादेखि सार्वजनिक रूपमा नदेखिएकाले उनीमाथि भ्रष्टाचार मुद्दा लगाएर बर्खास्त गरिएको हुनसक्ने वालस्ट्रिट जर्नलले जनाएको छ ।   संग्रह  सेयर,world
राष्ट्रसंघ मुख्यालयमा महासभाको चहलपहलजगदीश्वर पाण्डेसंयुक्त राष्ट्रसंघ (यूएन) को ७८ औं महासभाको चहलपहल बढेको छ । हरेक वर्ष हुने बहुपक्षीय कूटनीतिको यो ‘कुम्भ मेला’ मा सहभागी हुन विभिन्न मुलुकका अधिकारी न्युयोर्कस्थित यूएनको मुख्यालयमा आउन थालेका हुन् ।  संग्रह  सेयर,world
रुसले स्याटेलाइट विकासमा उत्तर कोरियालाई सघाउनेएजेन्सीरुसले स्याटेलाइट विकासमा उत्तर कोरियालाई सहयोग गर्ने भएको छ । शिखर वार्ताका लागि रुसको भोस्तोच्नी पुगेका उत्तर कोरियाली नेता किम जोङ उन र रुसी राष्ट्रपति भ्लादिमिर पुटिनबीचको भेटवार्तापछि रुसले सहयोगको प्रतिबद्धता जनाएको हो ।  संग्रह  सेयर,world
सन् २००० मा आजकै दिन : अस्ट्रेलियाको सिड्नीमा ओलम्पिककान्तिपुर संवाददातासन् २००० मा आजकै दिन (सेप्टेम्बर १५) मा अस्ट्रेलियाको सिड्नीमा ओलम्पिक खेल सुरु भएको थियो । आधुनिक ओलम्पिकको २४ औं संस्करण सेप्टेम्बर १५ देखि अक्टोबर १ सम्म भएको थियो ।  संग्रह  सेयर,world
"भारतीय विपक्षी गठबन्धनले १४ जना टेलिभिजन पत्रकारको कार्यक्रम बहिष्कार गर्नेकान्तिपुर संवाददाताभारतीय विपक्षी गठबन्धन भारतीय राष्ट्रिय विकासवादी समावेशी गठबन्धन(इन्डिया) ले केही टेलिभिज पत्रकारलाई बहिष्कार गर्ने भएको छ । बिहीबार विपक्षी गठबन्धनअन्तर्गतको सबैभन्दा ठूलो दल भारतीय कंग्रेसको सञ्चार तथा प्रचार विभागका प्रमुखसमेत रहेका नेता पवन खेराले एक सूची जारी गरेका हुन्, जसमा 'आजतक' च्यानलका सम्पादक सुधीर चौधरीदेखि रिपब्लिक टेलिभिजनका प्रधान सम्पादक अर्णव गोश्वामीसम्मका नाम रहेका छन् ।  संग्रह  सेयर",world
किमले पुटिनलाई दिए उत्तर कोरिया भ्रमणको निम्तोकान्तिपुर संवाददाताउत्तर कोरियाली नेता किम जोङ उनले रुसी राष्ट्रपति भ्लादिमिर पुटिनलाई भ्रमणको निम्तो दिएका छन् । शिखर वार्ताका लागि रुसको भोस्तोच्नी पुगेका नेता किमले राष्ट्रपति पुटिनलाई भ्रमणको निम्तो दिएका हुन् ।  संग्रह  सेयर,world
"खडेरीको मार : स्पेनले थप गहुँ, मकै र जौ आयात गर्नेनान/सिन्हवास्पेनले खडेरीका कारण उत्पादनमा कमी आएको भन्दै त्यसको पूर्तिका लागि थप गहुँ, मकै र जौ आयात गर्ने बताएको छ ।  खडेरीका कारण यस वर्ष अन्नबाली, गेडागुडीलगायतका बाली उत्पादनमा स्पेनमा उल्लेख्य कमी आएको छ ।  संग्रह  सेयर",world
लिबिया बाढी : झन्डै २० हजारको मृत्यु भएको आशंकाकान्तिपुर संवाददातालिबियाको पूर्वी क्षेत्रमा आँधीपछि आएको बाढीबाट झन्डै २० हजार जनाको मृत्यु भएको अनुमान गरिएको छ ।  ‘ड्यानियल’ नामको आँधीपछि आएको बाढीमा परी हजारौं व्यक्ति बेपत्ता छन् ।  संग्रह  सेयर,world
"राष्ट्रसंघको सात दशक : शक्ति राष्ट्रको छायामाजगदीश्वर पाण्डेसंयुक्त राष्ट्रसंघ मान्छेलाई स्वर्ग लैजान निर्माण गरिएको होइन । तर, मान्छेलाई नर्कबाट बचाउनका लागि भने हो ।’ संयुक्त राष्ट्रसंघ (यूएन) का दोस्रो महासचिव डाग हामर्सोल्डले यस्तो अभिव्यक्ति दिएको पनि ६९ वर्ष पूरा भएको छ । तर, अहिले आएर प्रश्नहरू उठिरहेका छन्– यूएन मान्छेलाई नर्कबाट बचाउन साँच्चै सफल भएको छ त ?  संग्रह  सेयर",world
आजकै दिन : ओपेकको स्थापनाकान्तिपुर संवाददातासन् १९६० मा आजकै दिन (सेप्टेम्बर १४) मा तेल निर्यात गर्ने देशहरूको संगठन ओपेक स्थापना भएको थियो । १९६० को सेप्टेम्बर १० देखि १४ सम्म इराकको राजधानी बग्दादमा भएको सम्मेलनमा सहभागी विभिन्न पाँच राष्ट्रले अर्गनाइजेसन अफ द पेट्रोलियम एक्सपर्टिङ कन्ट्रिज (ओपेक) स्थापना गरेका थिए ।  संग्रह  सेयर,world
तीजमा पशुपतिनाथका चार स्थानबाट दर्शनको व्यवस्थाराससहरितालिका (तीज) पर्वका अवसरमा पशुपतिनाथ मन्दिर दर्शन गर्न आउने भक्तजनलाई चार स्थानबाट दर्शन गराइने भएको छ । कोषले यस वर्षको तीज पर्वका अवसरमा पशुपतिनाथको दर्शनमा आउने व्रतालु भक्तजनका लागि सहज बनाउन चार स्थानबाट लामको व्यवस्था गर्न लागिएको हो ।   संग्रह  सेयर,national
काठमाडौंका नदीतटीय क्षेत्रमा सतर्कता अपनाउन आग्रहकान्तिपुर संवाददाताकाठमाडौं उपत्यकामा बुधबार रातिदेखि भारी वर्षा भइरहेकाले नदी क्षेत्रमा पानीको सतह बढेको छ । काठमाडौंका नदीहरूमा जलसतहले सतर्कता तह पार गरेको र अझै बढ्दो क्रममा रहेकाले नदी तटीय क्षेत्रका बासिन्दा र नदी किनारको सडकबाट यात्रा गर्ने सर्वसाधारणलाई सतर्कता अपनाउन बाढी पूर्वानुमान महाशाखाले आग्रह गरेको छ ।  संग्रह  सेयर,national
सेनामा कार्यरत गिरीलाई गिनिज प्रमाणपत्रकान्तिपुर संवाददातानेपाली सेनामा कार्यरत हरिचन्द्र गिरीले संसारमै ‘सबैभन्दा छोटो समयमा भ‍र्‍याङका खुड्किला हातले टेकेर ओर्लिने’ शीर्षकमा गिनिज वर्ल्ड रेकर्डमा नाम लेखाएका छन् ।  संग्रह  सेयर,national
"कम्पनी दर्ता असोज १५ गतेदेखि अनलाइनबाटकान्तिपुर संवाददाताकम्पनी रजिष्ट्रारको कार्यालयमा दर्ता हुने प्राइभेट लिमिटेड तथा पब्लिक लिमिटेड कम्पनी आगामी असोज १५ गतेदेखि अनलाइन माध्यामबाट दर्ता हुने भएका छन् । कम्पनी दर्ता तथा प्रशासनसम्बन्धी सेवालाई छिटोछरितो, विश्वसनीय तथा प्रविधिमैत्री बनाउन कम्पनी दर्तालाई अनलाइनका माध्यमबाट गर्न लागिएको कम्पनी रजिस्ट्रारको कार्यालयका उपरजिस्ट्रार शेखर बाबु कार्कीले जानकारी दिए ।  संग्रह  सेयर",national
नेप्टा फुटसलका लागि डिफेन्डिङ च्याम्पियन लियोपार्डको टिम घोषणाकान्तिपुर संवाददाताविश्वभरका फिजियोथेरापिस्ट तथा फिजियोथेरापी सन्बन्धी काम गर्ने निकायहरुले सेप्टेम्बर ८ लाई विश्व फिजियोथेरापी दिवसको रुपमा मनाउँदै आएका छन् । यसै अवसरमा नेपालका फिजियोथेरापिस्टहरूको छाता संघ नेपाल फिजियोथेरापी संघ(नेप्टा) ले फिजियोथेरापिस्टहरूका लागि फुटसल प्रतियोगिता आयेजना गर्दैछ ।  संग्रह  सेयर,national
पार्टीका सहमहामन्त्री यादवमाथि भएको आक्रमणको तरुण दलद्वारा विरोधकान्तिपुर संवाददातानेपाली कांग्रेसको भ्रातृ संस्था नेपाल तरुण दलले पार्टीका सहमहामन्त्री महेन्द्र यादवमाथि भएको आक्रमणको विरोध गरेको छ ।  संग्रह  सेयर,national
"अनलाइन सुरक्षामा युवाको 'फ्रेन्डभर्सिटी'कान्तिपुर संवाददातासाथीहरुबीच अनलाइन सुरक्षाको जनचेतना फैलाउन, साझेदारी गर्न र सहायता पुर्‍याउन काठमाडौं उपत्यकाका युवाहरुले ‘अनलाइन सेफ्टी बाई फ्रेन्डभर्सिटी’ अर्थात ‘अनलाइन सुरक्षाका लागि मित्रताको विश्वविद्यालय’ अभियान थालेका छन् ।  संग्रह  सेयर",national
पर्वतारोही शेर्पालाई ‘अचिभमेन्ट अवार्ड’ प्रदानकान्तिपुर संवाददाताराष्ट्रपति रामचन्द्र पौडेलले यस वर्षको पीपी प्रसाईं लाइफटाइम ‘अचिभमेन्ट अवार्ड २०८०’ पर्वतारोही आङ छिरिङ शेर्पालाई प्रदान गरेका छन् ।   संग्रह  सेयर,national
'समाचार हुबहु चोरी कारबाहीको दायरामा पर्छ'कान्तिपुर संवाददाताप्रेस काउन्सिलले आधारहीन विषयवस्तु र हुबहु चोरी गरी समाचार बनाउने गलत अभ्यास भइरहेकाले त्यस्ता गतिविधि कारबाहीको दायरामा पर्ने भन्दै सचेत गराएको छ ।  संग्रह  सेयर,national
नापीचन्द्र महाविहारको भवन उद्घाटनकान्तिपुर संवाददातानेपालको सांस्कृतिक सम्पदा क्षेत्रको पुनर्निर्माणका लागि भारत सरकारले उपलब्ध गराएको भूकम्पपछिको पुनर्निर्माण अनुदानअन्तर्गत करिब ३ करोड ५० लाख रुपैयाँको लागतमा निर्मित ललितपुरस्थित नापीचन्द्र महाविहारको नयाँ भवनको नेपालका लागि भारतीय राजदूत नवीन श्रीवास्तव र ललितपुर महानगरपालिकका मेयर चिरीबाबु महर्जनले संयुक्त रूपमा उद्घाटन गरेका छन् ।  संग्रह  सेयर,national
मेयर शाहको अभिव्यक्ति लक्षित काठमाडौं प्रशासनको विज्ञप्ति- 'सरकारी काममा खटिनेलाई जथाभावी वक्तव्य नदेउ'कान्तिपुर संवाददाताकाठमाडौं जिल्ला प्रशासन कार्यालयले सरकारी काममा खटिएका कर्मचारीहरुलाई निरुत्साहित गर्ने र सामाजिक सञ्जालमा जथाभावी वक्तव्य नदिन ध्यानकर्षण गराएको छ ।  संग्रह  सेयर,national
"बसुन्धरामा भ्यानको ठक्करबाट मोटरसाइकल चालकको मृत्यु, एक घाइतेराससकाठमाडौंको बसुन्धरामा भ्यानको ठक्करबाट मोटरसाइकल चालक दावा दोर्जे शेर्पाको मृत्यु भएको छ ।  संग्रह  सेयर",national
"थेच्वमा मतयाःप्रशान्त मालीअग्रपंक्तिमा स्याल राजा त्यसपछि ब्रह्मा, सरस्वती, जलदेवता र कुमारको भेषमा केही युवा क्रमशः कुचोले बाटो बढार्दै, कपडा बिछ्याउँदै, जल छर्कंदै र असर्फी राख्दै अगाडि बढेका देखिन्छन् । तीन जना युवा छन्, अग्नि, वायु र इन्द्र देवताको भेषमा ।  संग्रह  सेयर",national
